City Id,City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
1,bluff,NZ,-46.6,168.33,70.0,70.0,49,7.0,1
2,kapaa,US,22.08,-159.32,76.57,78.8,65,6.93,75
3,ostrovnoy,RU,68.05,39.51,11.7,11.7,95,8.99,56
4,kavaratti,IN,10.57,72.64,84.74,84.74,70,7.38,38
5,provideniya,RU,64.38,-173.3,15.37,15.37,94,13.49,100
6,bethel,US,41.37,-73.41,42.04,45.0,48,11.41,90
7,mataura,NZ,-46.19,168.86,70.0,70.0,49,7.0,0
8,zeya,RU,53.75,127.27,50.13,50.13,44,4.68,0
9,ushuaia,AR,-54.8,-68.3,41.0,41.0,81,5.82,20
10,bredasdorp,ZA,-34.53,20.04,62.6,62.6,82,8.05,100
11,magadan,RU,59.57,150.8,23.45,23.45,92,5.39,12
12,ribeira grande,PT,38.52,-28.7,61.54,61.54,73,4.7,97
13,rikitea,PF,-23.12,-134.97,77.65,77.65,74,9.86,14
14,darab,IR,28.75,54.54,69.64,69.64,28,4.99,84
15,pevek,RU,69.7,170.31,10.26,10.26,89,20.31,100
16,busselton,AU,-33.65,115.33,85.93,89.01,28,7.25,51
17,qaanaaq,GL,77.48,-69.36,4.24,4.24,74,7.7,43
18,labuhan,ID,-6.88,112.21,86.86,86.86,69,5.61,32
19,saldanha,ZA,-33.01,17.94,62.6,62.6,88,3.36,84
20,albany,US,42.6,-73.97,36.81,39.2,64,14.99,40
21,narsaq,GL,60.92,-46.05,46.4,46.4,22,26.4,100
22,antoniny,UA,49.81,26.88,37.65,37.65,65,4.76,83
23,sarangani,PH,5.4,125.46,82.74,82.74,69,19.17,27
24,bathsheba,BB,13.22,-59.52,78.8,78.8,78,11.41,40
25,okoneshnikovo,RU,54.84,75.08,41.54,41.54,86,7.78,64
26,panama city,PA,8.99,-79.52,80.29,81.0,67,1.99,80
27,paamiut,GL,61.99,-49.67,36.19,36.19,79,2.44,100
28,port hardy,CA,50.7,-127.42,48.2,48.2,70,8.05,40
29,constitucion,CL,-35.33,-72.42,54.81,54.81,89,8.86,100
30,kosh-agach,RU,50.0,88.67,31.71,31.71,41,1.9,0
31,vaini,TO,-21.2,-175.2,80.6,80.6,65,8.05,20
32,cockburn town,TC,21.46,-71.14,78.75,78.75,74,4.07,68
33,iqaluit,CA,63.75,-68.51,14.0,14.0,78,2.24,75
34,oroville,US,39.51,-121.56,59.61,71.6,43,10.29,1
35,port alfred,ZA,-33.59,26.89,64.45,64.45,87,6.2,13
36,bud,US,39.45,-86.18,41.77,45.0,56,4.7,1
37,paita,PE,-5.09,-81.11,76.5,76.5,67,11.27,75
38,fort morgan,US,40.25,-103.8,56.43,59.0,33,10.29,40
39,dikson,RU,73.51,80.55,10.15,10.15,95,11.01,91
40,kamyshevatskaya,RU,46.41,37.96,47.75,47.75,88,14.12,24
41,cayenne,GF,4.93,-52.33,80.6,80.6,88,2.24,95
42,butaritari,KI,3.07,172.79,84.7,84.7,73,8.63,60
43,punta arenas,CL,-53.15,-70.92,41.0,41.0,80,13.87,20
44,tuktoyaktuk,CA,69.45,-133.04,10.4,10.4,72,5.82,20
45,pershotravneve,UA,51.39,28.87,34.57,34.57,77,5.7,0
46,meulaboh,ID,4.14,96.13,84.97,84.97,68,2.93,80
47,inuvik,CA,68.35,-133.72,21.2,21.2,53,8.05,75
48,coihueco,CL,-36.62,-71.83,54.3,55.0,87,3.36,97
49,buala,SB,-8.14,159.59,84.04,84.04,75,8.41,49
50,tumut,AU,-35.3,148.22,57.0,57.0,57,17.72,94
51,cape town,ZA,-33.93,18.42,61.81,62.6,93,10.29,40
52,ambon,ID,-3.7,128.18,93.2,93.2,49,11.41,20
53,carnduff,CA,49.17,-101.8,39.99,39.99,74,13.0,100
54,hilo,US,19.73,-155.09,68.97,75.2,88,4.7,90
55,codrington,AU,-38.27,141.97,56.48,56.48,58,27.25,85
56,humaita,BR,-7.51,-63.02,75.29,75.29,92,1.9,61
57,tocopilla,CL,-22.09,-70.2,68.67,68.67,52,5.77,19
58,tuatapere,NZ,-46.13,167.68,70.0,70.0,49,7.0,2
59,yellowknife,CA,62.46,-114.35,16.5,17.6,72,10.29,75
60,ritchie,ZA,-29.04,24.6,71.6,71.6,94,12.75,1
61,hobart,AU,-42.88,147.33,53.44,55.99,58,17.22,75
62,nevelsk,RU,46.67,141.86,32.0,32.0,83,15.66,40
63,east london,ZA,-33.02,27.91,67.42,67.42,81,7.27,1
64,gravdal,NO,68.12,13.5,34.18,34.18,83,15.46,100
65,kerema,PG,-7.96,145.78,85.78,85.78,65,6.6,98
66,muravlenko,RU,63.79,74.52,35.13,35.13,96,19.48,100
67,leningradskiy,RU,69.38,178.42,15.46,15.46,89,7.76,92
68,toppenish,US,46.38,-120.31,67.5,73.99,37,11.41,1
69,camacha,PT,33.08,-16.33,63.12,64.4,82,12.75,40
70,new norfolk,AU,-42.78,147.06,52.75,55.99,58,17.22,75
71,bima,ID,-8.47,118.72,84.04,84.04,75,3.69,73
72,pochutla,MX,15.74,-96.47,81.0,81.0,80,6.62,14
73,cap-aux-meules,CA,47.38,-61.86,33.8,33.8,86,13.87,75
74,longyearbyen,SJ,78.22,15.64,-9.4,-9.4,83,3.36,20
75,nizhnyaya omka,RU,55.43,74.94,41.13,41.13,88,7.23,54
76,khatanga,RU,71.97,102.5,26.35,26.35,95,26.62,96
77,jalu,LY,29.03,21.55,54.72,54.72,66,9.1,0
78,hithadhoo,MV,-0.6,73.08,84.69,84.69,63,8.7,16
79,conway,US,35.09,-92.44,47.68,51.01,75,3.36,1
80,umm lajj,SA,25.02,37.27,68.95,68.95,46,12.1,34
81,hermanus,ZA,-34.42,19.23,62.01,62.01,90,5.01,99
82,barrow,US,71.29,-156.79,-0.4,-0.4,70,11.41,90
83,hasaki,JP,35.73,140.83,59.38,63.0,37,6.93,20
84,shumskiy,RU,54.83,99.13,37.9,37.9,64,4.92,96
85,tiksi,RU,71.69,128.87,25.56,25.56,93,33.26,89
86,belyy yar,RU,53.6,91.39,28.4,28.4,92,2.24,90
87,kuusamo,FI,65.97,29.18,8.6,8.6,92,1.12,28
88,vanavara,RU,60.34,102.28,35.65,35.65,73,9.53,98
89,northam,GB,51.03,-4.22,51.26,57.0,74,1.99,99
90,alofi,NU,-19.06,-169.92,82.4,82.4,65,5.82,9
91,carnarvon,AU,-24.87,113.63,82.4,82.4,69,8.05,32
92,toora-khem,RU,52.47,96.11,39.97,39.97,47,2.84,71
93,atuona,PF,-9.8,-139.03,82.45,82.45,75,11.34,84
94,daru,PG,-9.08,143.21,84.31,84.31,73,8.81,50
95,olafsvik,IS,64.89,-23.71,36.46,36.46,81,15.46,22
96,castro,BR,-24.79,-50.01,55.53,55.53,72,5.37,42
97,arraial do cabo,BR,-22.97,-42.03,69.8,69.8,94,1.12,75
98,nouadhibou,MR,20.93,-17.03,69.8,69.8,68,25.28,0
99,college,US,64.86,-147.8,34.14,39.2,74,9.17,90
100,elizabeth city,US,36.29,-76.25,48.31,53.6,42,6.93,1
101,roma,US,43.21,-75.46,35.98,39.2,80,11.41,90
102,husavik,IS,66.04,-17.34,28.4,28.4,92,9.17,40
103,puerto ayora,EC,-0.74,-90.35,80.01,80.01,86,1.52,87
104,half moon bay,US,37.46,-122.43,55.44,59.0,87,10.29,75
105,luderitz,NA,-26.65,15.16,55.4,55.4,82,2.24,0
106,cidreira,BR,-30.18,-50.21,62.73,62.73,82,4.36,7
107,warmbad,NA,-28.45,18.73,65.37,65.37,20,5.17,1
108,broome,US,42.25,-75.83,33.42,36.0,69,11.41,75
109,boddam,GB,57.47,-1.78,50.5,53.6,87,3.36,100
110,imeni poliny osipenko,RU,52.42,136.49,45.16,45.16,53,5.1,0
111,los llanos de aridane,ES,28.66,-17.92,68.0,68.0,82,8.05,75
112,hamilton,US,39.18,-84.53,38.32,42.01,68,5.12,1
113,port elizabeth,ZA,-33.92,25.57,55.4,55.4,100,2.24,7
114,sitka,US,57.05,-135.33,46.4,46.4,36,4.7,1
115,mehamn,NO,71.04,27.85,26.74,26.74,89,14.81,99
116,naze,JP,28.37,129.48,71.6,71.6,53,6.93,75
117,spirovo,RU,57.42,34.98,29.16,29.16,93,7.18,96
118,linjiang,CN,41.81,126.91,55.13,55.13,29,7.52,0
119,tasiilaq,GL,65.61,-37.64,24.8,24.8,53,2.24,99
120,ponta do sol,PT,32.67,-17.1,60.13,64.4,72,10.29,20
121,leh,IN,34.17,77.58,31.15,31.15,18,2.24,0
122,bubaque,GW,11.28,-15.83,77.9,77.9,80,10.36,10
123,avarua,CK,-21.21,-159.78,84.2,84.2,83,9.17,100
124,ilebo,CD,-4.32,20.58,70.65,70.65,86,2.06,97
125,grand gaube,MU,-20.01,57.66,77.63,78.01,83,6.93,40
126,jiaocheng,CN,24.68,116.14,66.51,66.51,77,2.68,97
