City Id,City,Country,Date,Latitude,Longitude,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
1,ushuaia,AR,1586669773,-54.8,-68.3,39.2,39.2,64,9.17,40
2,la joya,MX,1586669773,18.67,-99.47,74.82,74.82,20,2.89,0
3,bredasdorp,ZA,1586669773,-34.53,20.04,66.2,66.2,68,25.28,71
4,new norfolk,AU,1586669774,-42.78,147.06,57.63,60.8,59,14.99,75
5,castro,BR,1586669774,-24.79,-50.01,55.69,55.69,69,5.48,61
6,sampit,ID,1586669774,-2.53,112.95,91.33,91.33,55,2.75,43
7,kodiak,US,1586669585,57.79,-152.41,37.4,37.4,86,18.34,90
8,caravelas,BR,1586669774,-17.71,-39.25,77.4,77.4,86,3.91,2
9,novyy urengoy,RU,1586669774,66.08,76.63,21.2,21.2,95,7.0,99
10,bluff,NZ,1586669775,-46.6,168.33,68.0,68.0,57,5.01,47
11,boa esperanca,BR,1586669775,-21.09,-45.57,60.33,60.33,75,6.49,17
12,chokurdakh,RU,1586669775,70.63,147.92,23.05,23.05,95,14.12,98
13,cloquet,US,1586669775,46.72,-92.46,35.4,39.2,43,12.75,90
14,mataura,NZ,1586669775,-46.19,168.86,68.0,68.0,57,5.01,38
15,hermanus,ZA,1586669775,-34.42,19.23,62.01,62.01,95,1.99,70
16,hohhot,CN,1586669775,40.81,111.65,60.8,60.8,8,4.47,0
17,maltahohe,NA,1586669776,-24.83,16.98,68.49,68.49,23,2.57,5
18,rikitea,PF,1586669776,-23.12,-134.97,78.55,78.55,80,9.15,92
19,inta,RU,1586669776,66.03,60.17,24.55,24.55,92,4.54,92
20,ixtapa,MX,1586669776,20.7,-105.2,73.4,73.4,78,2.24,5
21,tutoia,BR,1586669776,-2.76,-42.27,79.61,79.61,85,5.7,100
22,miri,MY,1586669777,4.41,114.01,89.31,89.6,75,8.05,75
23,hasaki,JP,1586669777,35.73,140.83,57.09,59.0,71,12.75,75
24,marzuq,YE,1586669777,14.4,46.47,79.48,79.48,36,6.24,2
25,matay,EG,1586669777,28.42,30.78,65.26,65.26,51,10.29,0
26,albany,US,1586669777,42.6,-73.97,29.41,33.8,59,3.33,1
27,kapaa,US,1586669777,22.08,-159.32,72.37,75.2,73,4.7,90
28,chapais,CA,1586669778,49.78,-74.85,17.6,17.6,85,6.93,1
29,ambilobe,MG,1586669651,-13.2,49.05,83.3,83.3,63,6.8,1
30,nizwa,OM,1586669778,22.93,57.53,83.41,83.41,25,6.29,21
31,urumqi,CN,1586669778,43.8,87.6,60.8,60.8,29,6.71,33
